characteristic,group,base_group,odds_ratio,conf_lower,conf_upper
Age,Age,Mean age,1.0155384615384615,1.013051282051282,1.0180256410256412
Carers,"Yes, 20-34 
hours a week",Not a carer,0.8351764705882353,0.7051764705882354,0.9912941176470591
Carers,"Yes, 35 or more hours a week",Not a carer,0.8972058823529413,0.8134705882352938,0.9903823529411767
Carers,"Yes, up to 19 hours a week",Not a carer,0.8110882352941176,0.7510588235294119,0.8759999999999999
Deprivation (SIMD),deprived-2,Quintile 5,1.1183333333333334,1.0295333333333334,1.2153333333333334
Deprivation (SIMD),deprived-3,Quintile 5,1.0564,0.9768,1.1432666666666667
Deprivation (SIMD),deprived-4,Quintile 5,1.0439333333333332,0.9653333333333333,1.1293333333333335
Deprivation (SIMD),most deprived 1,Quintile 5,1.1884666666666666,1.0863333333333334,1.3007999999999997
Ethnicity,"African, Caribbean or Black",White,0.8918421052631581,0.6289473684210528,1.2774736842105263
Ethnicity,Asian,White,0.7133157894736841,0.5724210526315788,0.8928421052631578
Ethnicity,Mixed,White,0.946157894736842,0.6997368421052631,1.2896315789473685
Ethnicity,Other,White,0.6454736842105263,0.4774736842105263,0.8771578947368421
First OOH service contacted,999 Emergency service,NHS24,1.3381666666666667,1.1173333333333333,1.6025
First OOH service contacted,A&E / Casualty,NHS24,1.1226666666666667,1.0113333333333334,1.2459999999999998
First OOH service contacted,District /Ccommunity Nurse,NHS24,1.9283333333333335,1.2971666666666668,2.871166666666667
First OOH service contacted,My own GP surgery,NHS24,1.3281666666666667,1.1173333333333333,1.5786666666666667
First OOH service contacted,Other,NHS24,1.2708333333333333,1.0073333333333334,1.6031666666666666
First OOH service contacted,Out of Hours Service,NHS24,1.1079999999999999,0.9501666666666666,1.2923333333333333
First OOH service contacted,Pharmacist / Chemist,NHS24,1.3441666666666665,1.0806666666666667,1.6723333333333332
First OOH service treated or advised by,"A&E / 
Casualty",Phone advice only,1.321,1.1988333333333334,1.4558333333333333
First OOH service treated or advised by,Emergency dental,Phone advice only,1.8986666666666665,1.454,2.4804999999999997
First OOH service treated or advised by,"Home visit 
from another 
doctor/ nurse",Phone advice only,1.5345000000000002,1.3481666666666667,1.7468333333333332
First OOH service treated or advised by,My own GP surgery,Phone advice only,2.1515,1.8248333333333333,2.537333333333333
First OOH service treated or advised by,Other,Phone advice only,0.8198333333333334,0.6915,0.9723333333333333
First OOH service treated or advised by,Out of Hours Service,Phone advice only,1.6798333333333335,1.5341666666666667,1.8390000000000004
First OOH service treated or advised by,Paramedics,Phone advice only,2.9603333333333333,2.5494999999999997,3.438166666666666
First OOH service treated or advised by,Pharmacist / Chemist,Phone advice only,2.353,1.8548333333333333,2.986333333333333
Frequency of contact with GP Practice,5-10 times,2-4 times,1.04696,0.9890399999999999,1.10892
Frequency of contact with GP Practice,Can't remember / don't know,2-4 times,0.8743599999999999,0.7254,1.05676
Frequency of contact with GP Practice,More than 10 times,2-4 times,1.15172,1.06592,1.2452800000000002
Frequency of contact with GP Practice,Once,2-4 times,0.9686400000000001,0.8891999999999999,1.05676
