theme,question,characteristic,base_group,group,odds_ratio,conf_lower,conf_upper,population_perc,base_perc
Access,"Thinking of the last time you contacted this GP surgery by phone, how easy was it for you to get through?",Gender,Female,Male,1.064,1.026,1.104,0.4190040461911533,0.5809959538088466
Access,"The last time you needed to see or speak to a doctor or nurse from your GP surgery quite urgently, how long did you wait?",Gender,Female,Male,0.774,0.742,0.8079999999999999,0.4190040461911533,0.5809959538088466
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Gender,Female,Male,1.179,1.137,1.222,0.4190040461911533,0.5809959538088466
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Gender,Female,Male,1.24,1.195,1.286,0.4190040461911533,0.5809959538088466
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Gender,Female,Male,1.18,1.1440000000000001,1.216,0.4190040461911533,0.5809959538088466
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Gender,Female,Male,1.223,1.1740000000000002,1.274,0.4190040461911533,0.5809959538088466
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Gender,Female,Male,1.053,1.0090000000000001,1.1,0.4190040461911533,0.5809959538088466
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Gender,Female,Male,1.076,1.015,1.1420000000000001,0.4190040461911533,0.5809959538088466
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Gender,Female,Male,1.182,1.136,1.23,0.4190040461911533,0.5809959538088466
Doctor,The doctor listened to me,Gender,Female,Male,1.192,1.12,1.2690000000000001,0.4190040461911533,0.5809959538088466
Doctor,I felt that the doctor had all the information needed to treat me,Gender,Female,Male,1.172,1.12,1.227,0.4190040461911533,0.5809959538088466
Doctor,The doctor was considerate and understanding,Gender,Female,Male,1.244,1.183,1.308,0.4190040461911533,0.5809959538088466
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Gender,Female,Male,1.285,1.227,1.3459999999999999,0.4190040461911533,0.5809959538088466
Doctor,I felt confident in the doctor's ability to treat me,Gender,Female,Male,1.169,1.1179999999999999,1.2229999999999999,0.4190040461911533,0.5809959538088466
Doctor,I had enough time with the doctor,Gender,Female,Male,1.13,1.077,1.185,0.4190040461911533,0.5809959538088466
